name,status,type,origin_year,origin_place,views,videos,photos,comments
1249,2,18,105,920,1177,0,8,22
1249,2,18,105,920,1195,0,8,22
3428,2,79,104,1537,591,13,3,2
2864,2,2,105,115,2202,0,14,3
1242,2,58,95,1477,1369,0,0,0
2254,2,88,100,1477,1499,0,3,6
1409,2,17,104,1477,818,0,5,0
2813,2,58,102,1477,17490,5,11,25
3611,2,79,105,1312,378,0,0,0
3782,2,18,105,106,4766,0,28,25
1702,2,47,105,1311,10816,6,5,0
150,2,17,103,1350,3360,7,12,24
715,2,33,99,1477,3741,13,11,8
2675,2,18,98,44,162,0,0,0
754,2,74,91,1317,8056,0,5,112
784,2,24,105,431,6847,1,4,84
3549,2,86,105,1361,1485,0,8,1
1283,2,33,105,1009,3096,5,73,4
2792,2,86,105,1361,3833,0,0,0
2006,2,17,105,1361,2949,0,12,8
1914,2,64,105,1312,2263,0,11,6
1449,2,33,98,1477,1930,16,0,1
2735,2,33,86,1133,2530,1,20,0
1877,2,86,105,1312,1133,0,0,3
1655,2,86,104,107,2130,0,0,3
3610,2,61,105,431,1461,0,12,0
412,2,44,104,1361,2262,1,4,9
3785,2,59,105,1215,3291,0,4,14
101,2,44,105,642,447,0,9,1
1990,2,15,105,431,7185,0,5,20
1488,2,6,101,725,6114,0,1,4
1959,2,18,104,451,3505,0,38,23
1744,2,86,100,1477,31029,0,8,36
3527,2,17,103,596,2115,14,8,4
1909,2,47,101,1291,1668,0,11,4
3347,2,30,105,1312,879,0,2,2
599,2,47,100,111,1356,0,11,2
2582,2,47,105,596,1178,0,10,3
836,2,47,99,128,3723,0,14,5
3098,2,75,105,1361,12213,0,11,1
2224,2,85,105,1361,15168,0,9,32
2953,2,47,85,1133,1807,0,45,2
3193,2,17,99,1477,16659,18,18,46
3372,2,1,102,238,1984,6,0,12
2580,2,33,105,1385,1800,1,38,3
895,2,47,100,88,9508,0,13,1
2683,2,30,101,1477,1107,7,0,1
858,2,30,105,1312,81841,8,6,7
2395,1,18,104,435,116,0,0,0
3172,2,76,105,1361,969,0,10,3
1849,2,30,90,1515,2578,6,2,11
1517,2,47,105,1311,13261,0,14,1
1749,2,69,88,1410,694,1,9,1
1107,2,44,105,1361,1273,0,9,1
2578,2,86,105,1312,587,0,2,0
615,2,86,105,1361,1149,0,6,1
2239,2,77,103,797,603,0,4,0
859,2,33,95,1477,2700,8,0,7
325,2,47,99,939,14128,0,12,1
3509,2,76,105,1312,34692,0,1,11
2251,2,84,95,250,1807,0,9,3
752,2,69,105,1361,17523,0,23,9
2287,2,62,103,558,477,0,13,4
2579,2,47,105,1106,9729,1,44,4
2129,1,4,105,380,518,0,0,1
688,2,33,100,258,1951,0,24,5
2857,2,84,102,796,166,0,5,0
2581,2,24,105,1009,10714,0,29,9
2556,2,69,105,596,7337,4,2,6
2417,2,58,105,44,7780,0,12,5
3244,2,31,105,1385,19051,1,19,177
3073,2,47,94,1210,3133,0,13,1
3530,2,17,105,1361,7937,1,16,95
1743,2,81,84,500,28102,2,9,3
356,2,79,95,1329,21016,8,0,3
2361,2,86,105,1312,1515,0,0,3
2583,2,69,105,1361,2653,0,10,5
902,2,86,105,860,23359,0,10,15
644,2,64,104,1312,3488,29,0,4
2397,2,85,105,1361,12005,0,10,84
3099,2,17,105,1361,5882,0,12,12
3763,2,44,100,431,3417,0,22,11
163,2,27,105,596,7954,3,20,22
14,2,58,105,1361,134,0,1,0
3155,2,27,103,1361,2744,0,16,6
2658,2,17,99,1361,824,0,16,0
947,2,30,105,1312,1062,0,0,3
3330,2,59,104,431,1921,0,12,14
699,2,86,105,431,1458,0,9,0
672,2,33,105,1106,11513,0,17,33
1518,2,89,105,1536,1250,1,0,2
758,2,18,105,596,4973,0,17,58
3449,2,44,105,596,9888,0,9,1
2782,2,59,105,1361,14262,0,22,31
1015,2,47,105,859,4315,0,5,9
2464,2,33,105,431,7109,0,10,1
3280,2,19,99,1477,1340,0,12,3
2033,2,47,99,1346,2961,0,12,2
281,2,17,89,1258,836,1,14,0
554,2,47,105,122,7548,0,25,1
2745,2,30,105,1312,1049,0,0,0
2443,2,33,103,1385,3443,0,15,2
507,2,30,105,1312,3312,1,0,0
351,2,59,104,1312,974,6,0,2
2659,2,25,105,596,1391,0,10,16
2406,2,47,105,1009,6996,0,15,8
618,2,18,78,371,12654,5,98,22
2926,2,37,59,1385,4139,0,4,19
3161,2,37,104,473,1785,4,2,11
1351,2,59,105,527,3697,0,12,3
1732,2,47,93,1281,1253,0,13,1
230,2,33,102,1385,1104,1,14,0
764,2,47,98,1459,1626,0,13,1
528,2,33,105,1009,1033,0,10,0
544,2,79,105,1312,1499,0,0,0
785,2,59,105,1009,16040,1,16,15
2520,2,59,105,431,2279,0,2,16
2908,2,30,105,1312,453,0,0,0
3608,2,24,105,1361,5452,1,7,12
2123,2,18,105,1361,6385,0,8,23
1623,2,79,105,1312,1823,0,0,2
199,2,6,105,1309,11023,0,35,6
3204,2,16,81,1385,1117,0,12,11
57,2,33,105,596,20769,6,3,4
3479,2,30,105,1312,1176,0,0,2
2200,2,75,105,1361,3547,0,13,3
3313,2,82,105,413,7179,4,512,1
1946,2,89,105,596,801,0,4,0
580,2,37,86,185,2741,0,8,7
1348,2,69,105,1361,22354,0,44,4
1039,2,4,105,1361,11368,1,10,17
3278,2,49,104,1361,7052,0,6,28
1685,2,44,105,1361,6146,0,10,55
2255,2,84,105,488,8787,3,12,14
786,2,24,105,1385,9169,0,25,95
1377,2,69,105,1361,4747,0,15,1
2234,2,51,101,1163,1194,0,0,1
2082,2,86,105,227,23513,5,19,52
2907,2,86,105,1312,2345,0,8,2
111,2,44,105,431,1861,2,10,2
728,2,1,102,91,3333,2,18,11
2187,2,72,98,1477,868,0,0,0
2796,2,47,104,1377,3004,0,11,0
701,2,33,104,431,5239,0,35,8
2527,2,6,99,2,1842,0,0,1
2937,2,47,105,1361,7529,0,10,2
1257,2,86,105,596,7438,7,10,37
